name,age,occupation,address
Temistocle,65,Banker,San Giovanni Rotondo
Vittoria,49,Producer,Mestre
Ruggero,46,Artist,Tivoli
Napoleone,48,Warden,Andria
Irma,40,Minerals surveyor,Chianciano Terme
Federigo,21,Television camera operator,Civita Castellana
Aldo,41,Market researcher,Portogruaro
Monica,50,Contractor,Aversa
Livio,55,Librarian,Bobbio
Giovanni,23,Psychotherapist,Ercolano
Ezio,20,Dentist,Lodi
Cecilia,35,Restaurant manager,Arezzo
Giosu,65,Engineer aeronautical,Oristano
Vittoria,51,Artist,Sulmona
Tina,42,Catering manager,Capua
Gianfranco,40,Environmental manager,Varallo
Elladio,39,Restaurant manager,Aquileia
Gemma,32,Designer graphic,Florence
Giacobbe,62,Psychologist,Viterbo
Giovanni,22,Producer,Bassano del Grappa
Martino,27,Producer television/film/video,Treviso
Susanna,41,Records manager,Ivrea
Marcantonio,22,Event organiser,Stresa
Griselda,49,Financial controller,Tivoli
Ottavio,54,Fashion designer,Vasto
Piero,23,Doctor,Mirandola
Patrizio,37,Writer,Canosa di Puglia
Beppe,50,Veterinary surgeon,Cento
Romeo,38,Associate Professor,Vibo Valentia
Ugo,33,Technical sales engineer,Portofino
Pomponio,47,Education officer,Catanzaro
Laura,47,Fashion designer,Lugo
Morena,42,Passenger transport manager,Altamura
Elladio,28,Scientist marine,Mantua
Giovanni,48,Science writer,Peschiera del Garda
Ramona,46,Broadcast presenter,Monza
Enzio,39,Barrister,Spoleto
Francesco,36,Automotive engineer,Varallo
Bruno,35,Trainer,Bordighera
Armando,33,Broadcast presenter,Pavia
Martino,45,Surveyor insurance,Oristano
Pina,48,Software engineer,Sulmona
Marissa,54,Management consultant,Aosta
Silvio,19,Chief of Staff,Ariano Irpino
Dina,64,Catering manager,Vibo Valentia
Gioachino,62,Fashion designer,Comiso
Sandra,26,Furniture designer,Calabria
Sandra,54,Surveyor insurance,Marche
Ilaria,22,Producer,Termini Imerese
Daria,57,Police officer,Lanciano
Angelica,60,Librarian,Belgioioso
Fabrizia,63,Automotive engineer,Fossano
Amalia,24,Chief of Staff,Alessandria
Martino,41,Counsellor,Cortona
Ubaldo,41,Neurosurgeon,Torre del Greco
Azeglio,64,CEO,Urbino
Rosina,63,Engineer aeronautical,Fossano
Raffaella,61,Scientist research,Asti
Temistocle,54,Dentist,Amalfi
Martino,49,Ergonomist,Lombardy
Ornella,21,CEO,Torcello
Annibale,27,Producer television/film/video,Subiaco
Sandro,31,Designer,Corato
Cipriano,33,Lecturer,Mestre
Ugo,38,Neurosurgeon,Bronte
Roberta,23,Television camera operator,Cortona
Rosario,31,Contractor,Ancona
Orazio,38,Dentist,Vittoria
Liberto,51,Financial controller,Saluzzo
Nico,40,Chiropodist,Trapani
Elladio,52,Banker,Milazzo
Francesca,48,Surveyor insurance,Assisi
Maurilio,56,Dispensing optician,Savona
Silvio,25,Warehouse manager,Portici
Daria,62,Teacher,Calabria
Luciano,47,Teacher secondary school,Modica
Arnaldo,30,Equality and diversity officer,Lugo
Manuel,39,Medical sales representative,Corato
Ennio,51,Fashion designer,Lecce
Monica,61,Industrial buyer,Verbania
Biagio,38,Solicitor,Gorizia
Temistocle,40,Production assistant radio,Vercelli
Beppe,28,Recycling officer,Pistoia
Giulia,51,Textile designer,ForlÃ¬
Antonio,24,Recycling officer,Marsala
Beatrice,47,Television camera operator,Lanciano
Pier,44,Chemist,Prato
Ronaldo,58,Chiropodist,Foggia
Lisa,21,Art gallery manager,Pisa
Graziano,55,Records manager,Sassari
Gioffre,42,Network engineer,Fidenza
Fiorino,37,Barrister,CefalÃ¹
Giuliana,39,Pharmacist,Sora
Ramona,40,Restaurant manager,Belgioioso
Maurizio,45,Warden,Schio
Beatrice,27,Psychologist,Cori
Benedetto,65,Politician's assistant,Genoa
Luciano,59,Software engineer,Lanciano
Telemaco,61,Records manager,Rivoli
Luigina,49,Neurosurgeon,Torcello
Riccardo,23,Contractor,Tarquinia
Caterina,54,Journalist magazine,Cuneo
Arnaldo,65,Merchant navy officer,Capannori
Victoria,54,Artist,Otranto
Guglielmo,39,Exhibition designer,Avola
Cesare,61,Food technologist,Grottaglie
Giulietta,65,Broadcast presenter,Adrano
Amalia,19,Passenger transport manager,Licata
Ivo,51,Restaurant manager,Narni
Marcantonio,60,Paediatric nurse,Senigallia
Fabio,60,Art gallery manager,Comiso
Romolo,32,Programmer multimedia,Potenza
Patrizio,36,Paediatric nurse,Molise
Graziano,59,Exhibition designer,Emilia-Romagna
Giulio,63,Food technologist,Sesto San Giovanni
Giacomo,42,Scientist marine,Bassano del Grappa
Adelasia,24,Public house manager,Cividale del Friuli
Melissa,50,Paediatric nurse,Alba
Giada,32,Automotive engineer,Torcello
Vincenzo,59,Journalist magazine,Trento
Martino,53,Warden,Valle dâ€™Aosta
Girolamo,41,Meteorologist,Calabria
Arsenio,60,Musician,Conegliano
Annibale,41,Equality and diversity officer,Sardinia
Nico,52,Minerals surveyor,Syracuse
Temistocle,51,Passenger transport manager,Lodi
Valerio,39,Warehouse manager,La Spezia
Paride,41,Veterinary surgeon,Merano
Adelmo,51,Teacher secondary school,Erice
Loretta,38,Public house manager,Terracina
Milena,50,Herbalist,CittÃ  di Castello
Donatella,30,Information officer,Formia
Giustino,51,Therapist sports,Pomigliano dâ€™Arco
Enrico,51,Furniture designer,Gravina in Puglia
Piermaria,35,Network engineer,Reggio di Calabria
Biagio,63,Company secretary,Bari
Elvira,41,Chemist,Favara
Griselda,37,Exhibition designer,Mola di Bari
Gaetano,57,Solicitor,Treviso
Stefano,56,Designer,CittÃ  di Castello
Ernesto,48,Records manager,Isernia
Giulia,46,Television production assistant,Pescia
Vito,53,Contractor,Carpi
Emilio,39,Network engineer,Oristano
Baldassare,49,Ergonomist,Sicily
Jacopo,23,Writer,Udine
Ciro,47,Teacher,Chiavari
Bruno,55,Physiological scientist,Fossano
Alfredo,62,Psychotherapist,Trani
Gabriella,37,Restaurant manager,Massa
Pierluigi,39,Merchant navy officer,Gioia del Colle
Adele,49,Medical sales representative,Subiaco
Francesco,44,Scientist marine,Valle dâ€™Aosta
Melania,48,Theatre director,Frascati
Ramona,20,Contractor,Modica
Lisa,56,Dispensing optician,Manduria
Simone,25,Associate Professor,Siena
Nino,61,Industrial buyer,Agrigento
Raffaele,65,Dentist,Gorizia
Alfredo,65,Trainer,Taormina
Agostino,35,Programmer multimedia,Corato
Elladio,58,Equality and diversity officer,Trapani
Enrico,34,Haematologist,Desio
Vincenza,34,Police officer,Tuscany
Laura,22,Haematologist,Monfalcone
Armando,55,Passenger transport manager,CefalÃ¹
Gioachino,64,Restaurant manager,Fidenza
Giancarlo,27,Politician's assistant,Foligno
Lazzaro,57,Financial controller,Carpi
Marcella,39,Solicitor,Venosa
Gilberto,24,Minerals surveyor,Peschiera del Garda
Erika,42,Public house manager,Ravenna
Coluccio,30,Police officer,Grottaglie
Danilo,45,Chemist,Barletta
Giuliana,53,Information officer,Piazza Armerina
Giustino,31,Lecturer,Vibo Valentia
Roberta,40,Contractor,Matera
Milo,34,Records manager,Bitonto
Michelotto,37,Microbiologist,Mirandola
Ermes,34,Engineer technical sales,Imperia
Ettore,37,Passenger transport manager,Nola
Gioele,29,Psychotherapist,Castelfranco Veneto
Simonetta,65,Psychotherapist,Agrigento
Corrado,42,Warehouse manager,Crotone
Valerio,43,Recycling officer,Urbino
Allegra,50,Producer television/film/video,Sciacca
Vincentio,25,Art gallery manager,Licata
Giulietta,55,Ergonomist,Fermo
Vito,28,Chiropodist,Fano
Ferdinando,24,Art gallery manager,Piombino
Aria,39,Records manager,Gioia del Colle
Silvia,59,Chemist,Puglia
Lando,38,Meteorologist,Caltanissetta
Rossana,22,Journalist magazine,Sicily
Leone,41,Education officer,Narni
Valerio,56,Doctor,Piombino
Fabrizio,26,Teacher secondary school,Emilia-Romagna
Giacomo,29,Trainer,Piacenza
Diana,45,Market researcher,Guastalla
Luciano,28,Dispensing optician,Teramo
Giosu,20,Restaurant manager,Rome
Ricciotti,32,Doctor,Empoli
Giulietta,48,Records manager,Saluzzo
Ermenegildo,53,Equality and diversity officer,ForlÃ¬
Enrico,26,Writer,Aquino
Federica,38,Psychotherapist,Teramo
Enzo,31,Contractor,Gela
Danilo,40,Police officer,Monreale
Napoleone,21,Artist,Olbia
Galasso,44,Surveyor insurance,Civita Castellana
Giacomo,46,Company secretary,Veneto
Amleto,62,Broadcast presenter,NardÃ²
Cecilia,35,Broadcast presenter,Faenza
Bettina,44,Psychologist clinical,Manduria
Martina,39,Barrister,Faenza
Francesco,49,Company secretary,Aquileia
Lorenzo,41,Therapist sports,Terracina
Allegra,20,Ergonomist,Acireale
Ida,55,Lecturer,Ruvo di Puglia
Francesco,47,Television camera operator,Salerno
Agnolo,32,Art therapist,Sciacca
Salvatore,23,Exhibition designer,Reggio di Calabria
Aldo,26,Passenger transport manager,Perugia
Bartolomeo,63,CEO,Centuripe
Nicoletta,39,Therapist sports,Tortona
Lilla,19,Metallurgist,Terni
Marcantonio,32,Banker,Feltre
Stefano,23,Television camera operator,Siena
Ida,20,Herbalist,Livorno
Piero,31,Writer,Brindisi
Pasqual,23,Event organiser,Pistoia
Vittoria,47,Environmental manager,Anagni
Bartolomeo,31,Banker,Udine
Liana,22,Producer television/film/video,Piacenza
Federico,45,Trainer,Catania
Iolanda,64,Chief of Staff,Lodi
Tina,38,Financial controller,Novara
Stella,50,Producer television/film/video,Pietrasanta
Rosina,19,Meteorologist,Teramo
Jolanda,43,Art gallery manager,Trapani
Giovanni,65,CEO,Mazara del Vallo
Donatello,45,Producer television/film/video,Castelfranco Veneto
Cecilia,37,Restaurant manager,Sarno
Eva,25,Therapist sports,Alcamo
Angelina,52,Food technologist,Caserta
Sole,60,Exhibition designer,Pesaro
Greco,57,Metallurgist,Trapani
Agnolo,56,Software engineer,Marsala
Piero,43,Catering manager,Vallombrosa
Susanna,43,Police officer,Castelvetrano
Giovanni,28,Trainer,Vasto
Francesco,56,Producer,Reggio di Calabria
Lauretta,61,Network engineer,Fermo
Carolina,41,Multimedia specialist,Fondi
Saverio,52,Event organiser,Viterbo
Maria,61,Company secretary,Lucca
Virginia,49,Artist,Friuliâ€“Venezia Giulia
Antonella,31,Producer,Prato
Vanessa,34,Engineer technical sales,Rovereto
Arturo,31,CEO,MondovÃ¬
Marco,25,Journalist magazine,Peschiera del Garda
Olga,60,Engineer aeronautical,Caserta
Eliana,46,Art gallery manager,Argenta
Bruno,43,Contractor,Chianciano Terme
Ermenegildo,30,Exhibition designer,Sciacca
Ermenegildo,33,Producer,Molise
Gianluca,27,Psychologist,Peschiera del Garda
Dante,56,Neurosurgeon,Jesi
Ermenegildo,29,Warden,Rivoli
Riccardo,30,Psychotherapist,Crotone
Severino,38,Art gallery manager,Martina Franca
Arnulfo,36,Art therapist,La Spezia
Luciano,29,Psychotherapist,Corato
Caterina,43,Financial controller,Montagnana
Melina,60,Therapist sports,Sicily
Eugenia,28,Pharmacist,Grottaglie
Pierangelo,24,Environmental manager,Subiaco
Sylvia,64,Designer graphic,Imola
Gianluigi,44,Catering manager,Manduria
Lilla,39,Solicitor,Novara
Milo,62,Catering manager,Senigallia
Biagio,58,Counsellor,Gela
Patrizio,28,Police officer,Trapani
Alderano,47,Public house manager,ForlÃ¬
Iolanda,56,Associate Professor,Monte Santâ€™Angelo
Temistocle,38,Scientist research,Civita Castellana
Martino,22,Barrister,Schio
Donatella,50,Company secretary,Portici
Cassandra,20,Doctor,Chiavari
Azeglio,61,Associate Professor,Monte Santâ€™Angelo
Antonella,44,Art therapist,Campania
Vittoria,27,Therapist sports,Pozzuoli
Armando,60,Industrial buyer,Urbino
Amleto,52,Fashion designer,Biella
Marisa,42,Solicitor,Torre del Greco
Annalisa,53,Multimedia specialist,Cassino
Raffaella,53,Data scientist,Canosa di Puglia
Amleto,19,Network engineer,Syracuse
Ludovica,36,Environmental manager,Sesto San Giovanni
Pasqual,33,Politician's assistant,Rimini
Fabia,50,Catering manager,Andria
Marina,32,Environmental manager,Bobbio
Venancio,56,Psychologist clinical,Genoa
Arnaldo,34,Psychologist clinical,Bisceglie
Danilo,43,Musician,Novi Ligure
Jacopo,48,Veterinary surgeon,Rovigo
Rosalia,58,Chemist,Piacenza
Sabatino,48,Psychotherapist,Monte Santâ€™Angelo
Serena,26,Technical sales engineer,Chioggia
Victoria,50,Paediatric nurse,Mola di Bari
Cirillo,58,Designer,Marche
Vittoria,55,Production assistant radio,Caserta
Renzo,43,Science writer,Vittorio Veneto
Rembrandt,49,Designer graphic,Bobbio
Gianluigi,40,Producer television/film/video,Pistoia
Alderano,25,Fashion designer,Pietrasanta
Raffaella,49,Chemist,Naples
Rocco,26,Production assistant radio,Campania
Ansaldo,65,Automotive engineer,Iglesias
Martina,38,Doctor,Lanciano
Giustino,41,Chief of Staff,Sessa Aurunca
Ludovica,50,Restaurant manager,Burano
Simonetta,20,Therapist sports,Aquileia
Valerio,46,Dispensing optician,Avellino
Ottavio,39,Passenger transport manager,Bari
Ignazio,58,Company secretary,Bari
Pina,21,Associate Professor,Iglesias
Ida,50,Lecturer,Foligno
Raffaele,61,Contractor,Frosinone
Ermes,51,Microbiologist,Bolsena
Gioachino,55,Chemist,Aquileia
Isabella,45,Paediatric nurse,Sorrento
Melissa,46,Warehouse manager,Massa
Raffaello,45,Psychologist clinical,Alessandria
Damiano,53,Metallurgist,Florence
Edoardo,26,Banker,CittÃ  di Castello
Antonia,52,Recycling officer,Bolsena
Coluccio,48,Recycling officer,Pescia
Ignazio,47,Art therapist,Modica
Atenulf,50,Therapist sports,Bari
Fiorino,25,Recycling officer,Argenta
Pasquale,40,Technical sales engineer,Bitonto
Graziano,22,Event organiser,Cerignola
Fabia,23,Catering manager,Monfalcone
Carmelo,56,Chief of Staff,Salerno
Anita,49,Restaurant manager,Vittoria
Franco,20,Data scientist,Cerignola
Gioele,60,Chief of Staff,Mazara del Vallo
Milo,39,Psychotherapist,Cava de Tirreni
Damiano,48,Police officer,Forio
Victoria,59,Exhibition designer,Benevento
Fernanda,34,Company secretary,Treviso
Napoleone,30,Equality and diversity officer,CittÃ  di Castello
Giacinto,43,Counsellor,Castelfranco Veneto
Ippazio,36,Barista,Campobasso
Roberto,63,Metallurgist,Arpino
Stefano,50,Paediatric nurse,Saluzzo
Zaira,60,Barista,Savona
Gaspare,52,Television camera operator,Bassano del Grappa
Elvira,21,Psychotherapist,Pesaro
Sandro,56,Technical sales engineer,Desio
Serena,37,Television production assistant,Torre Annunziata
Baldassare,38,Designer graphic,Adria
Eugenia,38,Politician's assistant,Alatri
Edoardo,62,Multimedia specialist,Carpi
Fabio,61,Multimedia specialist,Bolsena
Fabio,40,Food technologist,Empoli
Lucia,25,Food technologist,Piacenza
Orazio,35,Dentist,Bolzano
Nanni,57,Designer,Cosenza
Nico,49,Engineer aeronautical,Puglia
Sante,60,Teacher,Cerignola
Michelotto,40,Warehouse manager,Pesaro
