queryID,query
Q1,"city=Aquila,job=Engineer, manufacturing systems"
Q2,"name=Keith Little,city=Nuoro"
Q3,"name=Tyler Stout,city=Magenta,age=52,job=Sub"
Q4,"age=64,job=Automotive engineer"
Q5,city=Marsala
Q6,"name=Austin Middleton,city=Aversa,job=Financial manager"
Q7,"name=Betty Blair,city=Naples,job=Psychiatric nurse"
Q8,"name=Thomas Wolf,age=35"
Q9,age=63
Q10,"age=36,job=Social research officer, government"
Q11,"name=Michael Mcdaniel,job=Adult guidance worker"
Q12,"name=Gregory Jackson,city=Enna"
Q13,"name=Amanda Deleon,city=Genoa,age=36"
Q14,"city=Alcamo,job=Agricultural consultant"
Q15,"age=41,job=Multimedia programmer"
Q16,city=Melfi
Q17,"name=Thomas Smith,city=Caserta,age=34,job=Forest/woodland manager"
Q18,name=Brendan Wilson
Q19,"name=Yolanda Rodriguez,age=19"
Q20,"name=Theresa Sims,job=Civil engineer, consulting"
Q21,"name=Kristen Bennett,age=61,job=Physiotherapist"
Q22,"name=Andrew Parker,city=Peschiera del Garda,age=37"
Q23,"name=Christine Serrano,job=Radiation protection practitioner"
Q24,"city=Crema,job=Radiation protection practitioner"
Q25,name=Christopher Williams
Q26,"age=29,job=Exhibitions officer, museum/gallery"
Q27,city=Ferrara
Q28,"name=Anthony Keith,city=Bordighera,job=Radio producer"
Q29,city=Ferrara
Q30,"name=Natalie Baker,city=Venice,age=60,job=Quarry manager"
Q31,"name=Ashley Fields,city=Bergamo"
Q32,"name=Jeffrey Rhodes,job=Amenity horticulturist"
Q33,"city=Cortona,age=27,job=Dealer"
Q34,"city=Udine,job=General practice doctor"
Q35,age=35
Q36,"name=Natasha Perez,job=Corporate investment banker"
Q37,"name=Rachel Jarvis MD,age=58"
Q38,"name=George Horton,job=Actuary"
Q39,"name=David Anderson,job=Geneticist, molecular"
Q40,age=28
Q41,"city=Rapallo,age=41"
Q42,name=Brent Mills
Q43,"name=Antonio Willis,city=San Giovanni Rotondo,age=65,job=Therapist, sports"
Q44,"name=Claudia Stevens,city=CefalÃ¹,age=60"
Q45,age=50
Q46,"job=Loss adjuster, chartered"
Q47,"age=48,job=Engineer, automotive"
Q48,"age=27,job=Amenity horticulturist"
Q49,"city=Jesi,age=26,job=Horticultural therapist"
Q50,"city=Sciacca,age=30"
Q51,"city=Campania,age=57,job=Garment/textile technologist"
Q52,"city=Tuscania,age=53,job=Stage manager"
Q53,name=Breanna Lester
Q54,"age=22,job=Landscape architect"
Q55,"city=Manduria,age=26,job=Tax inspector"
Q56,city=Padua
Q57,"name=Michael Stevenson,city=Marche,age=33"
Q58,"city=Sesto San Giovanni,age=56"
Q59,"city=Fossano,age=19,job=Building services engineer"
Q60,"name=Christina Pham,city=Lodi,age=58"
Q61,"name=Sarah Graham,age=34,job=Sport and exercise psychologist"
Q62,"name=Jose Travis,city=Monreale,age=23"
Q63,"name=Cynthia Jackson,city=Atri"
Q64,"name=Veronica Diaz,age=51"
Q65,name=Vincent Herrera
Q66,"city=Manfredonia,age=62"
Q67,"city=CefalÃ¹,age=25"
Q68,"city=Como,job=Research officer, trade union"
Q69,"name=Kevin Martin,city=Naples,job=Civil Service administrator"
Q70,"name=Lydia Mcbride,age=48,job=Wellsite geologist"
Q71,"name=Johnny Rivera,age=34"
Q72,"name=Thomas Smith,age=27"
Q73,"city=Schio,age=53"
Q74,"name=Dr. Laura Gamble MD,city=Trieste"
Q75,"name=Robert Mills,age=61"
Q76,age=52
Q77,age=25
Q78,"name=Maria Russell,city=Arpino"
Q79,"name=Rhonda Williams,city=Altamura,job=Comptroller"
Q80,"name=Morgan Reyes,age=41,job=Accountant, chartered certified"
Q81,"city=Rimini,age=57,job=Investment banker, operational"
Q82,age=42
Q83,"age=51,job=Archaeologist"
Q84,name=Kristen Bennett
Q85,"name=Adam Armstrong,city=Savona,job=Secondary school teacher"
Q86,"name=Nicholas Lawson,city=Marino,job=Teacher, music"
Q87,"city=Senigallia,age=49"
Q88,"name=Brett Miller,city=Amalfi,age=57,job=Lawyer"
Q89,"name=Christopher Rogers,city=Forio,age=65"
Q90,"city=Campobasso,job=Environmental consultant"
Q91,"city=Atri,age=59,job=Psychologist, counselling"
Q92,name=Claudia Barton
Q93,"age=29,job=Operational researcher"
Q94,"name=Jose Meyer,city=Bologna,age=41"
Q95,"city=Pozzuoli,age=50,job=Chartered certified accountant"
Q96,"city=Fossano,age=26,job=Scientist, biomedical"
Q97,"name=Sandra Ellis,city=Otranto,age=41,job=Fisheries officer"
Q98,age=20
Q99,"age=65,job=Telecommunications researcher"
Q100,"city=Trapani,age=36,job=Research scientist (maths)"
Q101,job=Glass blower/designer
Q102,"city=Brindisi,age=28,job=Exercise physiologist"
Q103,"name=Lauren Fuller,age=39"
Q104,"name=James Ayala,city=Liguria,age=43"
Q105,"name=Barbara Gross,city=Nocera Inferiore,age=41,job=Mechanical engineer"
Q106,"name=Anthony Perry,age=20"
Q107,"job=Surveyor, rural practice"
Q108,age=35
Q109,name=Paul Johnson
Q110,"city=Favara,age=24"
Q111,"age=31,job=Sub"
Q112,"name=Alyssa Savage,age=65,job=Civil Service administrator"
Q113,"name=Cynthia Wilson,job=Physicist, medical"
Q114,"name=Johnny Chavez,city=Pisa"
Q115,"city=Belgioioso,age=38,job=Pensions consultant"
Q116,"city=Padua,age=38,job=Passenger transport manager"
Q117,city=Terracina
Q118,"city=Sessa Aurunca,job=Editor, magazine features"
Q119,"city=Bisceglie,job=Architect"
Q120,"city=Spoleto,age=31"
Q121,job=Planning and development surveyor
Q122,"name=Joseph Garcia,age=58"
Q123,name=Alexis Patterson
Q124,"city=Lazio,job=Freight forwarder"
Q125,"name=Maria Russell,age=19,job=TEFL teacher"
Q126,"name=Kayla Parsons,job=Freight forwarder"
Q127,"city=Trani,age=54,job=Civil Service fast streamer"
Q128,"name=Austin Ward,city=Grottaglie,age=49,job=Pharmacist, hospital"
Q129,"name=Rebekah Griffith,age=56"
Q130,job=Charity fundraiser
Q131,"name=Christopher May,city=Capua,age=58,job=Equality and diversity officer"
Q132,"name=Maria Howard,city=Frosinone,age=51,job=Speech and language therapist"
Q133,name=Joseph Wallace
Q134,"name=Jennifer Jackson,city=Frosinone,age=36,job=Investment banker, operational"
Q135,city=Palazzolo Acreide
Q136,"name=Jeffery Morrison,city=Abruzzi"
Q137,name=Joshua Hodge
Q138,"city=Monza,age=61,job=Illustrator"
Q139,"name=Keith Harmon,city=Pozzuoli,age=22"
Q140,"city=Lucca,age=31,job=Transport planner"
Q141,name=Jacqueline Hunt
Q142,city=San Gimignano
Q143,job=Public affairs consultant
Q144,"name=Jennifer Barr,job=Herpetologist"
Q145,name=Elizabeth Turner
Q146,job=Barrister
Q147,"name=David Mathews,city=Sicily,age=32,job=Health physicist"
Q148,"name=John Davis,city=Cremona"
Q149,"name=Abigail Sharp,city=Catanzaro,age=53,job=Lecturer, further education"
Q150,"city=Rapallo,age=24"
Q151,"job=Administrator, arts"
Q152,"name=Matthew Sanchez,city=Avola,age=43,job=Librarian, academic"
Q153,"name=Seth Peterson,city=Umbria,age=62,job=Editor, film/video"
Q154,"name=Douglas Stewart,age=51"
Q155,"name=Adam Dunn,city=San Remo"
Q156,"name=Aaron Paul MD,city=Mazara del Vallo,job=Chiropodist"
Q157,name=Heather Burns
Q158,age=60
Q159,"name=William Morales,city=Fiesole,age=54"
Q160,"name=Christopher Young,age=32"
Q161,"name=Karen Summers,city=Merano,age=40"
Q162,"name=Scott Brown,city=Bronte,age=59,job=Retail merchandiser"
Q163,"name=Linda Santiago,age=28,job=Psychiatric nurse"
Q164,name=Hunter Simpson
Q165,name=Justin Gregory
Q166,"city=Ventimiglia,age=38"
Q167,"name=Amber Taylor,city=Crema,job=Facilities manager"
Q168,"city=La Spezia,job=Medical secretary"
Q169,name=Megan Costa
Q170,name=Andrew Tucker
Q171,"name=Kayla Parsons,city=Senigallia,job=Biochemist, clinical"
Q172,"name=Jacob Farrell,city=Mirandola,age=25"
Q173,"name=Wayne Mcclure,city=Pinerolo,age=43"
Q174,"name=Victoria Mann,city=Desio,age=53"
Q175,"city=Lucca,age=36"
Q176,"name=Jill Cunningham,age=36"
Q177,"job=Social research officer, government"
Q178,name=Russell Kennedy
Q179,"name=Dr. Dennis Rivera,job=Ceramics designer"
Q180,"age=47,job=Restaurant manager"
Q181,"city=Bolsena,age=63,job=Primary school teacher"
Q182,"name=Kim Hays,city=Civitavecchia"
Q183,"name=Richard Bush,age=34,job=Associate Professor"
Q184,age=23
Q185,"city=Monfalcone,age=37"
Q186,"name=Latasha Perez,city=Civitanova Marche,age=60"
Q187,city=Stresa
Q188,"name=Michael Stewart,job=Chartered loss adjuster"
Q189,"name=Joseph Rodriguez,age=50,job=Operational researcher"
Q190,"name=Blake King,job=Higher education careers adviser"
Q191,"name=Blake Cruz,city=Acireale,job=Firefighter"
Q192,"name=Alfred Dawson,age=25"
Q193,"name=Kaitlin Lopez,age=33"
Q194,"city=Milan,age=23,job=Exercise physiologist"
Q195,"name=Jasmine Gray,city=Carrara"
Q196,"city=Pistoia,age=23,job=Warehouse manager"
Q197,"job=Loss adjuster, chartered"
Q198,"name=Mark Valdez,age=49,job=Furniture conservator/restorer"
Q199,"age=49,job=Technical sales engineer"
Q200,"city=Adrano,age=52,job=Heritage manager"
Q201,age=30
Q202,"name=Russell Allen,city=Gravina in Puglia,age=60,job=Teacher, English as a foreign language"
Q203,"name=Mark Morales,city=Terracina,job=Volunteer coordinator"
Q204,"city=Sulmona,age=27"
Q205,"name=Brittney Stone,city=Vibo Valentia,job=Advertising art director"
Q206,"name=Jonathan Roth,age=59"
Q207,"city=Teramo,job=Operations geologist"
Q208,"name=Michelle Rivera,age=53,job=Adult guidance worker"
Q209,"name=Katherine Pope,city=Saluzzo,age=19"
Q210,"name=Michael Grimes,city=Schio"
Q211,age=28
Q212,age=20
Q213,name=Jill Simpson
Q214,"name=Hannah Hughes,city=Castel Gandolfo,age=44,job=Dispensing optician"
Q215,"name=Frank Griffin,job=Chartered accountant"
Q216,"city=Castellammare di Stabia,age=30"
Q217,job=Chief Financial Officer
Q218,"name=Michelle Rivera,city=Udine,age=31,job=Designer, television/film set"
Q219,city=Alessandria
Q220,name=Randall Reyes
Q221,"city=Mirandola,job=Radio broadcast assistant"
Q222,"name=Larry Vaughn,job=Journalist, magazine"
Q223,age=57
Q224,"name=Jonathan Jacobson,city=Aquila,job=Engineer, water"
Q225,"city=Ariano Irpino,age=37"
Q226,"name=Kaitlyn Sanders,city=Spoleto,age=20"
Q227,"name=Donna Stewart,city=Amalfi"
Q228,name=Amanda Franklin
Q229,city=Cagliari
Q230,"name=Susan Moore,city=Puglia,age=19,job=Network engineer"
Q231,"name=Cheryl Dillon,city=Piacenza,job=Agricultural engineer"
Q232,"city=Chieti,age=41,job=Surveyor, insurance"
Q233,name=Patrick Ramsey
Q234,city=Atri
Q235,"name=Jonathan Smith,city=Cassino,age=28"
Q236,"name=Erin Roy,city=Bronte,age=62"
Q237,"age=46,job=Sound technician, broadcasting/film/video"
Q238,job=Lobbyist
Q239,"name=Regina Adkins MD,city=Terracina,age=33"
Q240,"city=Sesto San Giovanni,age=25"
Q241,"name=Mckenzie Wilson,job=Microbiologist"
Q242,"name=James Castillo,city=Frosinone"
Q243,"name=Luke Jones,city=Cividale del Friuli,job=Fitness centre manager"
Q244,city=Rimini
Q245,age=37
Q246,name=William Shah
Q247,"age=36,job=Sport and exercise psychologist"
Q248,job=Commissioning editor
Q249,"city=Gaeta,job=Fitness centre manager"
Q250,"name=Kimberly Delgado,city=Avola"
Q251,"name=Sherry Perez,city=Tuscania,age=31,job=Politician's assistant"
Q252,age=54
Q253,"name=Michael Patel,age=34"
Q254,"name=Kathleen Simpson,age=65,job=Investment analyst"
Q255,"name=Mr. James Castaneda,city=Gela,age=45,job=Orthoptist"
Q256,"name=Todd Morse,city=Monreale"
Q257,"city=ForlÃ¬,age=65,job=Lexicographer"
Q258,"name=Justin Roy,age=62"
Q259,city=Loreto
Q260,city=Lombardy
Q261,"name=Steven Newton,age=59"
Q262,name=Lindsay Johnson
Q263,"city=Centuripe,age=52"
Q264,name=Karen Perez
